Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Delta Air Lines,1/05/2019,Los Angeles,Tokyo,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,184.38
Virgin Australia,3/03/2019,Sydney,Melbourne,BOM → HYD,13:10,14:30,1h 20m,non-stop,No info,173.35
Delta Air Lines,9/04/2019,Los Angeles,Tokyo,DEL → MAA → COK,20:40,09:25 10 Apr,12h 45m,1 stop,No info,135.15
Virgin Australia,21/05/2019,Sydney,Melbourne,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,155.35
Singapore Airlines,1/05/2019,Singapore,Tokyo,CCU → BOM → BLR,20:00,04:40 02 May,8h 40m,1 stop,In-flight meal not included,258.63
ANA All Nippon Airways,1/06/2019,Tokyo,Sydney,BOM → HYD,06:20,07:40,1h 20m,non-stop,No info,93.38
Turkish Airlines,9/05/2019,Istanbul,Singapore,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,96.68
Singapore Airlines,9/05/2019,Singapore,Sydney,DEL → BOM → COK,19:15,12:35 10 May,17h 20m,1 stop,In-flight meal not included,372.68
Qatar Airways,3/03/2019,Doha,New York,DEL → BOM → COK,06:40,18:50,12h 10m,1 stop,No info,455.88
Emirates,27/06/2019,Dubai,Sydney,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,400.35
ANA All Nippon Airways,6/06/2019,Tokyo,Sydney,BOM → HYD,13:15,14:45,,non-stop,No info,60.75
Air New Zealand,12/06/2019,Auckland,Tokyo,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,In-flight meal not included,328.88
Japan Airlines,6/03/2019,Tokyo,Bangkok,BOM → DEL → HYD,21:55,22:55 07 Mar,25h,1 stop,,373.35
Singapore Airlines,21/06/2019,Singapore,London,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,106.72
Virgin Australia,6/05/2019,Sydney,Perth,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,67.1
Singapore Airlines,21/03/2019,Singapore,London,DEL → AMD → BOM → COK,19:45,19:15 22 Mar,23h 30m,2 stops,No info,248.08
Cathay Pacific,3/06/2019,Hong Kong,Tokyo,DEL → BLR → COK,16:45,06:35 04 Jun,13h 50m,1 stop,No info,343.68
,21/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 22 May,13h 30m,2 stops,No info,455.7
ANA All Nippon Airways,24/06/2019,Tokyo,Sydney,CCU → BLR,15:20,17:55,2h 35m,non-stop,No info,105.85
Turkish Airlines,6/06/2019,Istanbul,Singapore,CCU → DEL → BLR,09:35,21:05,11h 30m,1 stop,In-flight meal not included,405.7
Air New Zealand,9/04/2019,Auckland,Los Angeles,BLR → DEL,21:15,00:15 10 Apr,3h,non-stop,No info,118.78
Cathay Pacific,03/03/2019,Hong Kong,London,BLR → DEL,21:10,00:05 04 Mar,2h 55m,non-stop,No info,
Delta Air Lines,27/05/2019,Los Angeles,Tokyo,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,209.68
Cathay Pacific,1/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,362.7
Singapore Airlines,09/03/2019,Singapore,Sydney,BLR → VGA → HYD → DEL,10:30,21:25,10h 55m,2 stops,No info,288.73
Air New Zealand,1/06/2019,Auckland,Sydney,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,106.72
Singapore Airlines,,Singapore,Sydney,DEL → LKO → BOM → COK,09:25,12:35 10 Jun,27h 10m,2 stops,No info,418.12
Delta Air Lines,24/05/2019,Los Angeles,Tokyo,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,264.5
Japan Airlines,12/06/2019,Tokyo,Bangkok,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,156.38
Air New Zealand,27/03/2019,Auckland,Tokyo,DEL → HYD → COK,06:40,22:20,15h 40m,1 stop,No info,194.03
Japan Airlines,6/05/2019,Tokyo,Sydney,DEL → BOM → COK,22:50,12:35 07 May,13h 45m,1 stop,No info,468.5
ANA All Nippon Airways,21/05/2019,Tokyo,Los Angeles,CCU → BOM → BLR,18:55,16:20 22 May,21h 25m,1 stop,,326.62
ANA All Nippon Airways,3/04/2019,Tokyo,Sydney,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,82.95
Japan Airlines,21/05/2019,Tokyo,Paris,DEL → BOM → COK,14:00,21:00,7h,,No info,
ANA All Nippon Airways,27/04/2019,Tokyo,Los Angeles,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,154.83
Air New Zealand,9/05/2019,Auckland,Sydney,DEL → BOM → COK,10:35,01:30 10 May,14h 55m,1 stop,No info,250.9
Virgin Australia,3/03/2019,Sydney,Brisbane,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,171.02
Qatar Airways,12/03/2019,Doha,London,BLR → BOM → DEL,22:55,18:25 13 Mar,19h 30m,1 stop,In-flight meal not included,333.95
ANA All Nippon Airways,01/03/2019,Tokyo,Sydney,BLR → DEL,20:55,23:50,2h 55m,non-stop,No info,558.98
ANA All Nippon Airways,1/03/2019,Tokyo,Los Angeles,BOM → HYD,02:30,04:00,1h 30m,non-stop,No info,481.92
Singapore Airlines,6/05/2019,Singapore,London,BLR → DEL,21:10,00:05 07 May,2h 55m,non-stop,No check-in baggage included,107.62
Japan Airlines,15/05/2019,Tokyo,Sydney,DEL → BOM → COK,12:50,01:30 16 May,12h 40m,1 stop,No info,231.02
Emirates,24/06/2019,Dubai,Sydney,DEL → AMD → BOM → COK,23:05,,19h 55m,2 stops,No info,386.12
Turkish Airlines,15/05/2019,Istanbul,Singapore,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,146.93
Cathay Pacific,27/06/2019,Hong Kong,Sydney,DEL → IDR → BOM → COK,21:25,19:00 28 Jun,21h 35m,2 stops,In-flight meal not included,346.6
ANA All Nippon Airways,6/06/2019,Tokyo,Sydney,DEL → BLR → COK,07:55,13:25,5h 30m,1 stop,No info,263.83
Cathay Pacific,12/06/2019,Hong Kong,Tokyo,DEL → BOM → COK,17:30,19:00 13 Jun,,1 stop,In-flight meal not included,309.1
Air New Zealand,21/05/2019,Auckland,Tokyo,DEL → HYD → MAA → COK,07:05,09:25 22 May,26h 20m,2 stops,No info,330.58
Emirates,6/06/2019,Dubai,Sydney,,19:15,04:25 07 Jun,9h 10m,1 stop,In-flight meal not included,309.1
Turkish Airlines,27/06/2019,Istanbul,New York,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,In-flight meal not included,180.92
Japan Airlines,21/03/2019,Tokyo,Paris,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,116.2
Qatar Airways,27/06/2019,Doha,New York,DEL → HYD → COK,,22:30,8h 10m,1 stop,,193.12
,21/04/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,
,9/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 10 Jun,23h 30m,2 stops,No info,300.25
Turkish Airlines,9/03/2019,Istanbul,Singapore,DEL → BOM → COK,02:15,12:55,10h 40m,1 stop,In-flight meal not included,550.0
Turkish Airlines,03/03/2019,Istanbul,London,BLR → DEL,18:25,21:20,2h 55m,non-stop,No info,266.72
Qatar Airways,24/05/2019,Doha,New York,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,326.62
Virgin Australia,27/05/2019,Sydney,Perth,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,108.35
Japan Airlines,6/05/2019,Tokyo,Sydney,CCU → DEL → BLR,17:00,21:05 07 May,28h 5m,1 stop,No info,393.58
Singapore Airlines,12/03/2019,Singapore,London,BLR → BOM → DEL,16:55,10:45 13 Mar,17h 50m,1 stop,No info,416.18
Cathay Pacific,12/03/2019,Hong Kong,Tokyo,BLR → BOM → DEL,06:45,23:15,16h 30m,1 stop,No info,349.45
ANA All Nippon Airways,9/05/2019,Tokyo,Sydney,CCU → BOM → BLR,16:30,18:15 10 May,25h 45m,1 stop,No info,419.9
Turkish Airlines,15/05/2019,Istanbul,London,CCU → DEL → BLR,20:25,19:10 16 May,22h 45m,1 stop,No info,426.23
Air New Zealand,15/05/2019,Auckland,Sydney,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,118.78
Qatar Airways,12/05/2019,Doha,New York,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,In-flight meal not included,326.62
Cathay Pacific,18/06/2019,Hong Kong,London,BOM → HYD,05:45,07:15,1h 30m,non-stop,No info,82.92
Emirates,12/06/2019,Dubai,Sydney,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,443.2
Qatar Airways,18/05/2019,Doha,London,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,290.55
Emirates,9/05/2019,Dubai,New York,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,No info,468.5
Japan Airlines,,Tokyo,Bangkok,BLR → VGA → VTZ → DEL,10:30,17:45,7h 15m,2 stops,No info,399.42
Turkish Airlines,18/03/2019,Istanbul,London,BLR → BOM → DEL,,05:05 16 Mar,17h 25m,1 stop,In-flight meal not included,333.95
Air New Zealand,15/06/2019,Auckland,Sydney,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,,346.6
ANA All Nippon Airways,9/05/2019,Tokyo,Singapore,DEL → BOM → COK,19:00,01:30 10 May,6h 30m,1 stop,No info,283.85
Emirates,12/04/2019,Dubai,Sydney,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,148.7
Cathay Pacific,6/06/2019,Hong Kong,London,BLR → DEL,21:10,00:05 07 Jun,2h 55m,non-stop,No check-in baggage included,98.1
Virgin Australia,6/05/2019,Sydney,Perth,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,145.27
Japan Airlines,12/05/2019,Tokyo,Sydney,MAA → CCU,22:05,00:25 13 May,2h 20m,non-stop,No info,158.95
Virgin Australia,9/04/2019,Sydney,Melbourne,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,116.65
Japan Airlines,24/05/2019,Tokyo,Sydney,CCU → BOM → BLR,16:30,04:40 25 May,12h 10m,1 stop,In-flight meal not included,326.62
Singapore Airlines,27/05/2019,Singapore,London,DEL → BOM → COK,17:00,01:30 28 May,8h 30m,1 stop,No info,216.8
Cathay Pacific,15/05/2019,Hong Kong,Sydney,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,183.55
Virgin Australia,3/05/2019,Sydney,Brisbane,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,
Air New Zealand,15/05/2019,Auckland,Tokyo,BLR → DEL,21:15,00:15 16 May,3h,non-stop,No info,118.78
Turkish Airlines,1/04/2019,Istanbul,London,CCU → BOM → BLR,20:00,12:00 02 Apr,16h,1 stop,No info,381.95
Qatar Airways,15/04/2019,Doha,Sydney,BLR → DEL,17:00,19:35,2h 35m,non-stop,,169.07
ANA All Nippon Airways,24/05/2019,Tokyo,Singapore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,116.65
Turkish Airlines,27/05/2019,Istanbul,London,DEL → BOM → COK,13:00,12:35 28 May,23h 35m,1 stop,In-flight meal not included,388.5
Turkish Airlines,9/05/2019,Istanbul,New York,DEL → JAI → BOM → COK,05:30,04:25 10 May,22h 55m,2 stops,No info,455.7
Japan Airlines,9/05/2019,Tokyo,Paris,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,117.8
Air New Zealand,12/06/2019,Auckland,Sydney,DEL → COK,21:05,00:20 13 Jun,3h 15m,non-stop,No info,181.17
,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,23:00,6h 5m,1 stop,No info,1651.38
Japan Airlines,27/03/2019,Tokyo,Paris,DEL → BOM → COK,20:30,01:35 28 Mar,5h 5m,1 stop,,152.8
Delta Air Lines,,New York,Paris,MAA → CCU,05:15,07:35,2h 20m,non-stop,No info,130.3
Emirates,24/06/2019,Dubai,London,DEL → AMD → BOM → COK,16:40,19:15 25 Jun,26h 35m,2 stops,No info,284.42
ANA All Nippon Airways,3/06/2019,Tokyo,Los Angeles,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,242.18
Emirates,3/04/2019,Dubai,London,BLR → DEL,06:00,08:45,2h 45m,non-stop,No info,217.75
Qatar Airways,15/06/2019,Doha,New York,,13:00,,2h 50m,non-stop,No info,118.78
Delta Air Lines,06/03/2019,Los Angeles,Tokyo,BLR → HBX → BOM → BHO → DEL,12:00,23:25,11h 25m,3 stops,No info,
Cathay Pacific,15/06/2019,Hong Kong,Sydney,DEL → IDR → BOM → COK,09:35,04:25 16 Jun,18h 50m,2 stops,No info,400.35
Qatar Airways,3/04/2019,Doha,New York,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,125.72
Qatar Airways,06/03/2019,Doha,Sydney,BLR → BOM → DEL,07:00,21:20,14h 20m,1 stop,No info,504.1
Singapore Airlines,12/05/2019,Singapore,Tokyo,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,156.57
ANA All Nippon Airways,3/06/2019,Tokyo,Los Angeles,DEL → BOM → COK,07:05,19:15,12h 10m,,No info,181.42
Japan Airlines,3/04/2019,Tokyo,Bangkok,DEL → BOM → COK,10:35,15:35,5h,1 stop,No info,152.8
Air New Zealand,15/05/2019,Auckland,Los Angeles,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,307.15
Emirates,27/06/2019,Dubai,London,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,106.72
Qatar Airways,27/06/2019,Doha,London,BLR → DEL,17:45,20:45,3h,non-stop,In-flight meal not included,217.75
Emirates,1/06/2019,Dubai,New York,DEL → JAI → BOM → COK,12:00,07:40 02 Jun,19h 40m,2 stops,No info,330.3
Emirates,24/03/2019,Dubai,New York,CCU → BOM → BLR,13:55,23:25,9h 30m,1 stop,In-flight meal not included,335.35
Cathay Pacific,6/04/2019,Hong Kong,Sydney,CCU → BLR,22:50,01:20 07 Apr,2h 30m,non-stop,No info,114.67
ANA All Nippon Airways,6/05/2019,Tokyo,Singapore,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,157.48
ANA All Nippon Airways,12/06/2019,Tokyo,Los Angeles,MAA → CCU,,17:05,2h 20m,non-stop,,
Virgin Australia,,Sydney,Brisbane,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,135.02
Turkish Airlines,24/06/2019,Istanbul,London,DEL → BOM → COK,11:30,04:25 25 Jun,16h 55m,1 stop,In-flight meal not included,309.1
ANA All Nippon Airways,6/06/2019,Tokyo,Los Angeles,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,155.35
Emirates,21/03/2019,Dubai,Sydney,BLR → COK → DEL,22:00,23:20 19 Mar,25h 20m,1 stop,No info,181.03
Japan Airlines,12/06/2019,Tokyo,Paris,DEL → NAG → BOM → COK,14:35,12:35 13 Jun,22h,2 stops,No info,402.9
Emirates,21/03/2019,Dubai,New York,DEL → BHO → BOM → COK,05:40,04:25 22 Mar,22h 45m,2 stops,No info,347.67
Japan Airlines,6/03/2019,Tokyo,Sydney,DEL → BOM → COK,09:55,19:15,9h 20m,1 stop,In-flight meal not included,462.1
Virgin Australia,15/03/2019,Sydney,Melbourne,,09:35,12:30,2h 55m,non-stop,No info,190.02
Japan Airlines,24/05/2019,Tokyo,Paris,BLR → DEL,19:30,22:15,2h 45m,non-stop,No info,175.4
ANA All Nippon Airways,24/03/2019,Tokyo,Singapore,BLR → DEL,11:30,14:10,2h 40m,non-stop,No info,162.75
Cathay Pacific,1/06/2019,Hong Kong,Sydney,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,116.65
Japan Airlines,27/05/2019,Tokyo,Sydney,DEL → BOM → COK,21:50,19:00 28 May,,1 stop,In-flight meal not included,388.5
Emirates,15/05/2019,Dubai,London,DEL → BOM → COK,17:10,01:30 16 May,8h 20m,1 stop,No info,210.2
Air New Zealand,12/05/2019,Auckland,Sydney,CCU → GAU → DEL → BLR,16:45,16:15 13 May,23h 30m,2 stops,No info,404.72
ANA All Nippon Airways,27/03/2019,Tokyo,Los Angeles,DEL → BOM → COK,11:30,04:25 28 Mar,16h 55m,1 stop,In-flight meal not included,181.23
,21/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5h 30m,1 stop,In-flight meal not included,423.28
Air New Zealand,6/03/2019,Auckland,Los Angeles,MAA → CCU,11:35,14:00,2h 25m,non-stop,No info,219.72
Delta Air Lines,12/06/2019,Atlanta,New York,CCU → BOM → BLR,18:55,19:50 13 Jun,24h 55m,1 stop,No info,392.9
Delta Air Lines,3/05/2019,New York,Paris,BLR → DEL,11:10,14:05,2h 55m,non-stop,In-flight meal not included,121.37
Emirates,06/03/2019,Dubai,Sydney,BLR → HYD → VGA → DEL,08:15,11:20 07 Mar,27h 5m,2 stops,,419.95
Delta Air Lines,12/05/2019,Atlanta,New York,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,No info,445.2
Turkish Airlines,24/03/2019,Istanbul,Singapore,BLR → DEL,05:45,08:35,,non-stop,No info,107.8
Virgin Australia,27/05/2019,Sydney,Perth,DEL → GOI → BOM → COK,22:00,19:15 28 May,21h 15m,2 stops,No info,308.18
ANA All Nippon Airways,27/05/2019,Tokyo,Singapore,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,166.58
Air New Zealand,12/05/2019,Auckland,Tokyo,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,326.62
Emirates,6/06/2019,Dubai,Sydney,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,252.18
Turkish Airlines,9/03/2019,Istanbul,New York,DEL → BOM → COK,06:50,19:45,12h 55m,1 stop,No info,490.63
Emirates,6/05/2019,Dubai,London,DEL → GOI → BOM → COK,22:00,19:15 07 May,21h 15m,2 stops,No info,352.45
Turkish Airlines,18/05/2019,Istanbul,Singapore,DEL → BOM → COK,13:00,01:30 19 May,12h 30m,1 stop,No info,282.68
Delta Air Lines,24/05/2019,Atlanta,New York,CCU → DEL → BLR,17:00,23:35,6h 35m,,No info,
Delta Air Lines,9/04/2019,New York,Paris,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,136.88
Japan Airlines,12/03/2019,Tokyo,Sydney,BLR → BOM → DEL,20:35,10:45 13 Mar,14h 10m,1 stop,In-flight meal not included,333.95
Singapore Airlines,3/06/2019,Singapore,Sydney,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,157.35
Emirates,27/06/2019,Dubai,Sydney,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,144.7
Japan Airlines,12/03/2019,Tokyo,Bangkok,BOM → MAA → HYD,05:55,20:35,14h 40m,1 stop,No info,207.85
ANA All Nippon Airways,21/03/2019,Tokyo,Singapore,DEL → HYD → COK,14:35,22:20,7h 45m,1 stop,In-flight meal not included,180.7
Japan Airlines,9/04/2019,Tokyo,Sydney,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,162.75
Qatar Airways,12/06/2019,Doha,New York,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,392.0
Delta Air Lines,6/05/2019,Atlanta,New York,BOM → HYD,07:05,08:30,1h 25m,non-stop,,150.45
Qatar Airways,21/05/2019,Doha,New York,CCU → BOM → BLR,06:30,08:15 22 May,25h 45m,1 stop,No info,
Emirates,3/06/2019,Dubai,Sydney,DEL → IDR → BOM → COK,21:25,19:00 04 Jun,21h 35m,2 stops,In-flight meal not included,346.6
Air New Zealand,15/06/2019,Auckland,Sydney,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,367.22
Air New Zealand,,Auckland,Los Angeles,DEL → BOM → COK,18:00,01:30 28 May,7h 30m,1 stop,No info,216.8
ANA All Nippon Airways,21/06/2019,Tokyo,Sydney,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,150.6
Japan Airlines,3/04/2019,Tokyo,Bangkok,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,115.7
Air New Zealand,21/03/2019,Auckland,Sydney,DEL → BOM → COK,13:00,18:50,5h 50m,1 stop,No info,371.9
Turkish Airlines,15/06/2019,Istanbul,New York,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,360.9
Turkish Airlines,9/05/2019,Istanbul,New York,DEL → JAI → BOM → COK,05:30,04:25 10 May,22h 55m,2 stops,In-flight meal not included,392.45
ANA All Nippon Airways,06/03/2019,Tokyo,Singapore,BLR → BOM → DEL,20:35,08:15 07 Mar,11h 40m,1 stop,No info,504.1
Virgin Australia,15/04/2019,Sydney,Melbourne,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,125.72
Delta Air Lines,27/06/2019,Atlanta,New York,CCU → BLR,09:00,11:25,2h 25m,non-stop,No check-in baggage included,115.7
,6/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,19:45 07 Mar,24h,1 stop,No info,512.78
Japan Airlines,24/05/2019,Tokyo,Paris,BLR → DEL,21:15,00:15 25 May,3h,non-stop,No info,118.78
Emirates,3/06/2019,Dubai,London,DEL → HYD → COK,11:55,22:30,10h 35m,1 stop,No info,194.03
Cathay Pacific,9/03/2019,Hong Kong,Tokyo,DEL → HYD → BOM → COK,07:05,19:15 10 Mar,36h 10m,2 stops,No info,354.28
Cathay Pacific,24/04/2019,Hong Kong,Sydney,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,125.72
Cathay Pacific,18/06/2019,Hong Kong,Sydney,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,144.7
Air New Zealand,6/06/2019,Auckland,Sydney,DEL → BOM → COK,14:00,01:30 07 Jun,11h 30m,1 stop,No info,402.92
Virgin Australia,1/04/2019,Sydney,Melbourne,BLR → DEL,,14:05,2h 55m,,,87.1
Virgin Australia,15/03/2019,Sydney,Melbourne,BLR → DEL,22:20,01:10 16 Mar,2h 50m,non-stop,No info,266.72
Japan Airlines,27/06/2019,Tokyo,Sydney,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,233.18
Japan Airlines,01/03/2019,Tokyo,Sydney,BLR → BOM → DEL,08:00,13:15,5h 15m,1 stop,No info,670.78
Virgin Australia,3/06/2019,Sydney,Melbourne,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,233.13
ANA All Nippon Airways,9/06/2019,Tokyo,Singapore,CCU → GAU → DEL → BLR,09:50,12:30 10 Jun,26h 40m,2 stops,No info,450.6
Japan Airlines,27/03/2019,Tokyo,Sydney,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,No info,362.4
ANA All Nippon Airways,6/03/2019,Tokyo,Sydney,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,164.52
Qatar Airways,21/03/2019,Doha,London,DEL → BOM → COK,19:45,18:50 22 Mar,23h 5m,1 stop,No info,371.9
Turkish Airlines,27/03/2019,Istanbul,Singapore,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,94.72
Delta Air Lines,21/03/2019,Atlanta,New York,BLR → BOM → DEL,11:40,20:20,8h 40m,1 stop,In-flight meal not included,235.9
Japan Airlines,21/06/2019,Tokyo,Paris,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,144.7
Virgin Australia,9/03/2019,Sydney,Perth,DEL → MAA → COK,02:05,07:10,5h 5m,1 stop,No info,315.73
Turkish Airlines,18/05/2019,Istanbul,Singapore,DEL → BOM → COK,11:30,04:25 19 May,16h 55m,1 stop,In-flight meal not included,372.68
Turkish Airlines,3/03/2019,Istanbul,Singapore,DEL → HYD → COK,07:05,22:20,15h 15m,1 stop,No info,315.6
Singapore Airlines,18/05/2019,Singapore,Sydney,DEL → JAI → BOM → COK,09:40,04:25 19 May,18h 45m,2 stops,In-flight meal not included,392.45
Virgin Australia,21/03/2019,Sydney,Melbourne,DEL → MAA → COK,12:30,09:25 22 Mar,20h 55m,1 stop,No info,195.25
Delta Air Lines,18/05/2019,Los Angeles,Tokyo,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,468.5
Virgin Australia,12/06/2019,Sydney,Perth,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,
Japan Airlines,24/03/2019,Tokyo,Sydney,,14:30,20:10,5h 40m,1 stop,No info,283.53
Emirates,9/06/2019,Dubai,Sydney,CCU → GAU → BLR,16:45,21:05 10 Jun,28h 20m,1 stop,,230.78
Qatar Airways,21/05/2019,Doha,Sydney,DEL → BOM → COK,19:00,01:30 22 May,6h 30m,1 stop,No info,237.6
ANA All Nippon Airways,15/05/2019,Tokyo,Los Angeles,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,156.38
Emirates,24/06/2019,Dubai,London,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,In-flight meal not included,180.92
Qatar Airways,27/05/2019,Doha,London,,10:00,12:35 28 May,26h 35m,1 stop,In-flight meal not included,388.5
Emirates,18/03/2019,Dubai,New York,BLR → BOM → NAG → DEL,08:50,10:35 16 Mar,25h 45m,2 stops,No info,
ANA All Nippon Airways,24/03/2019,Tokyo,Los Angeles,CCU → DEL → BLR,17:00,22:55,5h 55m,1 stop,No info,432.52
Air New Zealand,,Auckland,Tokyo,CCU → GAU → DEL → BLR,16:45,12:30 13 May,19h 45m,2 stops,No info,431.63
Virgin Australia,27/03/2019,Sydney,Melbourne,DEL → HYD → COK,,22:20,9h 15m,1 stop,No info,183.0
Emirates,1/03/2019,Dubai,New York,CCU → BLR,06:55,09:35,2h 40m,non-stop,No info,139.22
,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 10 May,11h 5m,1 stop,No info,433.38
,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,295.0
Japan Airlines,3/06/2019,Tokyo,Paris,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,
Delta Air Lines,9/05/2019,Atlanta,New York,CCU → BOM → BLR,21:10,04:40 10 May,7h 30m,1 stop,In-flight meal not included,291.05
Cathay Pacific,9/05/2019,Hong Kong,London,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,175.98
Japan Airlines,3/03/2019,Tokyo,Sydney,DEL → BOM → COK,07:00,15:30,8h 30m,1 stop,No info,469.98
ANA All Nippon Airways,3/03/2019,Tokyo,Singapore,CCU → BLR,22:10,00:55 04 Mar,2h 45m,non-stop,No info,169.22
Delta Air Lines,3/03/2019,New York,Paris,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,197.75
Japan Airlines,15/04/2019,Tokyo,Bangkok,DEL → BLR → COK,17:55,22:50,4h 55m,1 stop,No info,157.25
Turkish Airlines,27/06/2019,Istanbul,London,DEL → JAI → BOM → COK,09:40,19:00,9h 20m,2 stops,In-flight meal not included,312.3
Virgin Australia,24/06/2019,Sydney,Melbourne,DEL → MAA → COK,20:40,09:25 25 Jun,12h 45m,1 stop,,225.3
Delta Air Lines,12/06/2019,Los Angeles,Tokyo,DEL → LKO → BOM → COK,11:45,12:35 13 Jun,24h 50m,2 stops,No info,418.12
Turkish Airlines,24/06/2019,Istanbul,Singapore,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,194.03
Japan Airlines,24/06/2019,Tokyo,Paris,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,145.27
Qatar Airways,21/05/2019,Doha,London,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,116.65
Singapore Airlines,1/05/2019,Singapore,London,CCU → DEL → BLR,17:00,10:55 02 May,17h 55m,1 stop,No info,365.1
Qatar Airways,27/04/2019,Doha,New York,BLR → DEL,10:10,,2h 50m,non-stop,No info,133.22
